timestamp,actor,action,details
2025-01-15T12:00:00,Admin,Disable RSTP,"Investigating issue, blocked for 11h"
2025-01-15T12:00:00,System,update,"{'old_action': <ActionType.THROTTLE: 'throttle'>, 'new_action': <ActionType.DENY: 'deny'>, 'throttle': 882, 'qos': 0}"
2025-01-15T13:00:00,System,reset_defaults,All protocols reset to ALLOW
2025-01-15T23:00:00,Admin (Auto-Revert),Revert RSTP to allow,Planned maintenance end
2025-01-15T23:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-16T02:00:00,Admin (Auto-Revert),Revert RSTP to allow,End throttling
2025-01-16T02:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-23T16:00:00,Admin,Throttle RSTP to 390kbps,Bandwidth management for 43h (traffic was high)
2025-01-23T16:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.THROTTLE: 'throttle'>, 'throttle': 390, 'qos': 0}"
2025-01-23T19:00:00,System,reset_defaults,All protocols reset to ALLOW
2025-01-23T21:00:00,System,reset_defaults,All protocols reset to ALLOW
2025-01-24T09:00:00,Admin,Disable RSTP,"Investigating issue, blocked for 24h"
2025-01-24T09:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.DENY: 'deny'>, 'throttle': None, 'qos': 0}"
2025-01-25T09:00:00,Admin (Auto-Revert),Revert RSTP to allow,Planned maintenance end
2025-01-25T09:00:00,System,update,"{'old_action': <ActionType.DENY: 'deny'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-25T11:00:00,Admin (Auto-Revert),Revert RSTP to allow,End throttling
2025-01-25T11:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-27T10:00:00,Admin,Throttle RSTP to 717kbps,Bandwidth management for 24h (traffic was high)
2025-01-27T10:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.THROTTLE: 'throttle'>, 'throttle': 717, 'qos': 0}"
2025-01-27T13:00:00,System,reset_defaults,All protocols reset to ALLOW
2025-01-27T15:00:00,System,reset_defaults,All protocols reset to ALLOW
2025-01-27T17:00:00,Admin,Disable RSTP,"Investigating issue, blocked for 3h"
2025-01-27T17:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.DENY: 'deny'>, 'throttle': None, 'qos': 0}"
2025-01-27T20:00:00,Admin (Auto-Revert),Revert RSTP to allow,Planned maintenance end
2025-01-27T20:00:00,System,update,"{'old_action': <ActionType.DENY: 'deny'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-28T10:00:00,Admin (Auto-Revert),Revert RSTP to allow,End throttling
2025-01-28T10:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
