timestamp,actor,action,details
2025-01-14T16:00:00,Admin,Disable RSTP,"Investigating issue, blocked for 6h"
2025-01-14T16:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.DENY: 'deny'>, 'throttle': None, 'qos': 0}"
2025-01-14T22:00:00,Admin (Auto-Revert),Revert RSTP to allow,Planned maintenance end
2025-01-14T22:00:00,System,update,"{'old_action': <ActionType.DENY: 'deny'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-15T09:00:00,Admin,Throttle RSTP to 220kbps,Bandwidth management for 29h (traffic was high)
2025-01-15T09:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.THROTTLE: 'throttle'>, 'throttle': 220, 'qos': 0}"
2025-01-15T12:00:00,System,reset_defaults,All protocols reset to ALLOW
2025-01-16T14:00:00,Admin (Auto-Revert),Revert RSTP to allow,End throttling
2025-01-16T14:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-16T16:00:00,Admin,Disable RSTP,"Investigating issue, blocked for 10h"
2025-01-16T16:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.DENY: 'deny'>, 'throttle': None, 'qos': 0}"
2025-01-17T02:00:00,Admin (Auto-Revert),Revert RSTP to allow,Planned maintenance end
2025-01-17T02:00:00,System,update,"{'old_action': <ActionType.DENY: 'deny'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-21T12:00:00,Admin,Disable RSTP,"Investigating issue, blocked for 1h"
2025-01-21T12:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.DENY: 'deny'>, 'throttle': None, 'qos': 0}"
2025-01-21T13:00:00,Admin (Auto-Revert),Revert RSTP to allow,Planned maintenance end
2025-01-21T13:00:00,System,update,"{'old_action': <ActionType.DENY: 'deny'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-22T13:00:00,Admin,Throttle SNMP to 969kbps,Bandwidth management for 21h (traffic was high)
2025-01-22T13:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.THROTTLE: 'throttle'>, 'throttle': 969, 'qos': 0}"
2025-01-23T10:00:00,Admin (Auto-Revert),Revert SNMP to allow,End throttling
2025-01-23T10:00:00,Admin,Throttle DNS to 614kbps,Bandwidth management for 34h (traffic was high)
2025-01-23T10:00:00,System,update,"{'old_action': <ActionType.THROTTLE: 'throttle'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': 969, 'qos': 0}"
2025-01-23T10:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.THROTTLE: 'throttle'>, 'throttle': 614, 'qos': 0}"
2025-01-23T17:00:00,Admin,Disable RSTP,"Investigating issue, blocked for 4h"
2025-01-23T17:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.DENY: 'deny'>, 'throttle': None, 'qos': 0}"
2025-01-23T21:00:00,Admin (Auto-Revert),Revert RSTP to allow,Planned maintenance end
2025-01-23T21:00:00,System,update,"{'old_action': <ActionType.DENY: 'deny'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-24T15:00:00,Admin,Throttle SSH to 935kbps,Bandwidth management for 36h (traffic was high)
2025-01-24T15:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.THROTTLE: 'throttle'>, 'throttle': 935, 'qos': 0}"
2025-01-24T20:00:00,Admin (Auto-Revert),Revert DNS to allow,End throttling
2025-01-24T20:00:00,System,update,"{'old_action': <ActionType.THROTTLE: 'throttle'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': 614, 'qos': 0}"
2025-01-26T03:00:00,Admin (Auto-Revert),Revert SSH to allow,End throttling
2025-01-26T03:00:00,System,update,"{'old_action': <ActionType.THROTTLE: 'throttle'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': 935, 'qos': 0}"
2025-01-27T10:00:00,Admin,Disable ICMP,"Investigating issue, blocked for 8h"
2025-01-27T10:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.DENY: 'deny'>, 'throttle': None, 'qos': 0}"
2025-01-27T15:00:00,Admin,Throttle RDP to 408kbps,Bandwidth management for 33h (traffic was high)
2025-01-27T15:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.THROTTLE: 'throttle'>, 'throttle': 408, 'qos': 0}"
2025-01-27T16:00:00,Admin,Throttle SMTP to 727kbps,Bandwidth management for 32h (traffic was high)
2025-01-27T16:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.THROTTLE: 'throttle'>, 'throttle': 727, 'qos': 0}"
2025-01-27T18:00:00,Admin (Auto-Revert),Revert ICMP to allow,Planned maintenance end
2025-01-27T18:00:00,System,update,"{'old_action': <ActionType.DENY: 'deny'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-28T17:00:00,Admin,Throttle RSTP to 678kbps,Bandwidth management for 42h (traffic was high)
2025-01-28T17:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.THROTTLE: 'throttle'>, 'throttle': 678, 'qos': 0}"
2025-01-28T20:00:00,System,reset_defaults,All protocols reset to ALLOW
2025-01-29T00:00:00,Admin (Auto-Revert),Revert RDP to allow,End throttling
2025-01-29T00:00:00,Admin (Auto-Revert),Revert SMTP to allow,End throttling
2025-01-29T00:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-29T00:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-29T09:00:00,Admin,Throttle RSTP to 923kbps,Bandwidth management for 16h (traffic was high)
2025-01-29T09:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.THROTTLE: 'throttle'>, 'throttle': 923, 'qos': 0}"
2025-01-29T12:00:00,System,reset_defaults,All protocols reset to ALLOW
2025-01-29T14:00:00,System,reset_defaults,All protocols reset to ALLOW
2025-01-30T01:00:00,Admin (Auto-Revert),Revert RSTP to allow,End throttling
2025-01-30T01:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
2025-01-30T11:00:00,Admin (Auto-Revert),Revert RSTP to allow,End throttling
2025-01-30T11:00:00,System,update,"{'old_action': <ActionType.ALLOW: 'allow'>, 'new_action': <ActionType.ALLOW: 'allow'>, 'throttle': None, 'qos': 0}"
